,start,end
0,0,1044
1,1058,1370
2,1425,1637
3,1653,2105
4,2142,2565
5,2804,3298
6,3374,3539
7,3584,4217
8,4359,4942
9,5009,5684
10,6080,6465
11,6670,7154
12,7425,7634
13,7719,7985
14,8112,8724
15,9120,9374
16,9575,10309
17,10513,10850
18,11003,11598
19,11780,12409
20,12818,13099
21,13227,13383
22,13443,13744
23,13901,14571
24,14646,15401
25,15588,15739
26,16188,16898
27,17038,17580
28,17696,17995
29,18593,18886
30,18955,19524
31,19791,20100
32,20271,21104
33,21257,21899
34,23026,23639
35,23896,24445
36,24882,25237
37,25517,25922
38,25964,26265
39,26334,26730
40,26963,27388
41,27533,28099
42,28280,28847
43,29762,30336
44,30508,31017
45,31147,31818
46,32575,33306
47,33482,34187
48,34324,34475
49,35084,35891
50,36049,36599
51,36792,37469
52,38271,38982
53,39336,39810
54,40188,40479
55,40808,41190
56,41388,41995
57,42345,42799
58,43508,44130
59,44264,44834
60,45234,45575
61,45959,46226
62,46269,46792
63,46899,47520
64,47576,51396
