,start,end
0,0,920
1,943,1212
2,1263,1475
3,1480,1876
4,1944,2312
5,2436,2908
6,3082,3566
7,3725,4242
8,4304,4974
9,5173,5346
10,5850,6235
11,6423,6671
12,6725,7104
13,7319,7885
14,7953,8225
15,8275,8933
16,9054,9836
17,10081,10542
18,10944,11392
19,11653,12230
20,13297,13455
21,13507,13965
22,14059,14805
23,15654,15903
24,15956,16401
25,16526,17170
26,17280,17790
27,17908,18725
28,18826,18980
29,19024,19178
30,20260,20627
31,20735,20910
32,21520,22387
33,22466,23256
34,23321,24614
35,24702,24884
36,24928,25482
37,26034,26198
38,27057,27707
39,28360,29101
40,29243,29885
41,29970,30121
42,30745,31213
43,31306,31456
44,31926,32624
45,32665,33529
46,33686,34368
47,34477,34631
48,35281,35772
49,35924,36369
50,36507,37355
51,37407,37815
52,38222,38635
53,38884,39350
54,39499,39663
55,40070,40225
56,40882,41608
57,41708,41858
58,41913,42297
59,42974,43831
60,43928,44518
61,44593,44749
62,44799,45219
63,45598,45995
64,46785,51131
