,start,end
0,0,1128
1,1154,1353
2,1372,1629
3,1684,2076
4,2150,2616
5,2819,3341
6,3509,4104
7,4251,4787
8,4856,5545
9,5673,5823
10,6364,6805
11,6950,7286
12,7833,8388
13,8926,9226
14,9430,10165
15,10374,10546
16,10958,11591
17,11692,12170
18,12535,12828
19,12858,13220
20,13476,13983
21,14837,15571
22,15944,16304
23,17349,17779
24,17986,18734
25,19374,20092
26,20375,20741
27,21114,21578
28,21795,22373
29,22571,23217
30,24085,24763
31,25232,25477
32,25805,26105
33,26184,26477
34,27004,27638
35,27794,28485
36,28929,29397
37,29593,30260
38,30448,31154
39,31333,31545
40,32085,32796
41,33805,34495
42,34728,35626
43,36648,37247
44,37485,37640
45,37662,38017
46,38600,38891
47,39102,39253
48,39287,39594
49,40098,40457
50,40842,41352
51,41540,41739
52,42409,43094
53,43274,44064
54,44200,44361
55,45001,45608
56,45826,46482
57,46611,47287
58,47651,47868
59,48135,48420
60,48504,48724
61,49015,49747
62,49918,50248
63,50698,51439
64,51472,54222
