label,start,end
-2,1544,1975
0,1976,2050
-1,2051,2266
1,2267,2273
-1,2274,2560
2,2611,2760
-1,2744,3139
3,3240,3339
-1,3338,3816
4,3867,4016
-1,4058,4640
5,4841,4890
-1,4880,5441
6,5442,5551
-1,5552,6201
7,6402,6551
-1,6605,6785
8,6836,6985
-1,6970,7377
9,7478,7627
-1,7588,7892
A,8343,8392
-1,8346,8918
B,8919,9027
-1,9028,9187
C,9238,9387
-1,9604,9922
D,10123,10172
-1,10127,10831
E,11082,11231
-1,11267,11560
F,11861,11910
-1,11873,12488
G,12489,12603
-1,12604,13420
H,13721,13870
-1,13923,14232
I,14483,14532
-1,14525,15147
J,15398,15447
-1,15404,16149
K,16550,16699
-1,16657,17040
L,17091,17240
-1,17266,17431
M,17432,17464
-1,17465,17749
N,17800,17949
-1,17996,18730
O,18931,18980
-1,18975,19498
P,19699,19748
-1,19720,20369
Q,20570,20619
-1,20577,20861
R,20862,20952
-1,20953,21312
S,21413,21562
-1,21619,21829
T,22030,22179
-1,22264,22817
U,22868,23017
-1,23065,23654
V,23805,23954
-1,24130,24615
W,24666,24815
-1,24805,25452
X,25453,25566
-1,25567,26357
Y,26558,26707
-1,26799,27213
Z,27264,27413
-1,27514,27931
a,28132,28281
-1,28342,28758
b,28759,28821
-1,28822,29533
c,29684,29733
-1,29685,30370
d,30571,30620
-1,30590,31284
e,31535,31584
-1,31579,32260
f,32411,32560
-1,33232,33634
g,33835,33884
-1,33853,34325
h,34676,34825
-1,35220,35840
i,35991,36040
-1,36012,36308
j,36309,36335
-1,36336,36560
k,36711,36860
-1,36913,37142
l,37343,37392
-1,37359,37719
m,38520,38569
-1,38536,39128
n,39329,39478
-1,39499,39747
o,40748,40897
-1,40893,41397
p,41648,41797
-1,41847,42099
q,42250,42399
-1,42458,42927
r,43078,43127
-1,43093,43714
s,43865,44014
-1,44075,44416
t,44567,44616
-1,44604,45080
u,45881,45930
-1,45906,46471
v,46572,46721
-1,46829,47123
w,47124,47184
-1,47185,47474
x,47925,47974
-1,47945,48487
y,48638,48687
-1,48655,48958
z,49059,49208
-1,49305,49721
-2,49722,49744
