,start,end
0,0,1518
1,1544,1975
2,2051,2266
3,2274,2560
4,2744,3139
5,3338,3816
6,4058,4640
7,4880,5441
8,5552,6201
9,6605,6785
10,6970,7377
11,7588,7892
12,8346,8918
13,9028,9187
14,9604,9922
15,10127,10831
16,11267,11560
17,11873,12488
18,12604,13420
19,13923,14232
20,14525,15147
21,15404,16149
22,16657,17040
23,17266,17431
24,17465,17749
25,17996,18730
26,18975,19498
27,19720,20369
28,20577,20861
29,20953,21312
30,21619,21829
31,22264,22817
32,23065,23654
33,24130,24615
34,24805,25452
35,25567,26357
36,26799,27213
37,27514,27931
38,28342,28758
39,28822,29533
40,29685,30370
41,30590,31284
42,31579,32260
43,33232,33634
44,33853,34325
45,35220,35840
46,36012,36308
47,36336,36560
48,36913,37142
49,37359,37719
50,38536,39128
51,39499,39747
52,40893,41397
53,41847,42099
54,42458,42927
55,43093,43714
56,44075,44416
57,44604,45080
58,45906,46471
59,46829,47123
60,47185,47474
61,47945,48487
62,48655,48958
63,49305,49721
64,49745,52859
