label,start,end
-2,1058,1370
0,1371,1424
-1,1425,1637
1,1638,1652
-1,1653,2105
2,2106,2141
-1,2142,2565
3,2616,2765
-1,2804,3298
4,3299,3373
-1,3374,3539
5,3540,3583
-1,3584,4217
6,4218,4358
-1,4359,4942
7,4943,5008
-1,5009,5684
8,5885,6034
-1,6080,6465
9,6666,6715
-1,6670,7154
A,7405,7454
-1,7425,7634
B,7635,7718
-1,7719,7985
C,7986,8111
-1,8112,8724
D,8775,8924
-1,9120,9374
E,9425,9574
-1,9575,10309
F,10510,10559
-1,10513,10850
G,11001,11050
-1,11003,11598
H,11749,11798
-1,11780,12409
I,12660,12809
-1,12818,13099
J,13100,13226
-1,13227,13383
K,13384,13442
-1,13443,13744
L,13895,13944
-1,13901,14571
M,14572,14645
-1,14646,15401
N,15552,15601
-1,15588,15739
O,15890,16039
-1,16188,16898
P,16899,17037
-1,17038,17580
Q,17581,17695
-1,17696,17995
R,18046,18195
-1,18593,18886
S,18887,18954
-1,18955,19524
T,19575,19724
-1,19791,20100
U,20251,20300
-1,20271,21104
V,21255,21304
-1,21257,21899
W,22050,22199
-1,23026,23639
X,23890,23939
-1,23896,24445
Y,24646,24795
-1,24882,25237
Z,25288,25437
-1,25517,25922
a,25923,25963
-1,25964,26265
b,26266,26333
-1,26334,26730
c,26781,26930
-1,26963,27388
d,27389,27532
-1,27533,28099
e,28150,28299
-1,28280,28847
f,29748,29797
-1,29762,30336
g,30487,30536
-1,30508,31017
h,31018,31146
-1,31147,31818
i,31869,32018
-1,32575,33306
j,33457,33506
-1,33482,34187
k,34188,34323
-1,34324,34475
l,34526,34675
-1,35084,35891
m,36042,36091
-1,36049,36599
n,36750,36799
-1,36792,37469
o,38270,38319
-1,38271,38982
p,39133,39282
-1,39336,39810
q,39961,40110
-1,40188,40479
r,40630,40779
-1,40808,41190
s,41241,41390
-1,41388,41995
t,42146,42295
-1,42345,42799
u,43500,43549
-1,43508,44130
v,44131,44263
-1,44264,44834
w,45035,45184
-1,45234,45575
x,45776,45925
-1,45959,46226
y,46227,46268
-1,46269,46792
z,46793,46898
-1,46899,47520
-2,47521,47575
