time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s)
0.0,-0.0151,0.0015,0.9951,0.0,0.0,-0.061
0.005000000000109139,-0.0166,0.001,0.9941,0.0,-0.061,0.0
0.009999999999990905,-0.0166,0.0005,0.9937,0.0,0.061,0.0
0.015000000000100044,-0.0137,0.001,0.9971,0.0,0.061,0.0
0.01999999999998181,-0.0161,-0.001,0.9961,0.0,0.0,-0.061
0.02500000000009095,-0.0166,-0.001,0.9951,0.0,-0.061,0.0
0.029999999999972715,-0.0146,0.001,0.9971,0.0,-0.061,0.0
0.035000000000081855,-0.0156,-0.001,0.9976,0.0,0.0,0.0
0.03999999999996362,-0.0176,0.002,0.998,0.0,0.0,0.0
0.04500000000007276,-0.0181,0.001,0.9971,0.0,0.1221,-0.061
0.049999999999954525,-0.0171,0.0,0.9971,0.0,0.0,0.061
0.055000000000063665,-0.0166,-0.0005,0.998,0.061,-0.061,0.0
0.05999999999994543,-0.0156,0.0005,0.9951,0.0,-0.061,0.0
0.06500000000005457,-0.0156,-0.0024,0.9961,0.0,0.0,0.0
0.06999999999993634,-0.0176,0.002,0.9946,0.0,-0.1221,0.0
0.07500000000004547,-0.0166,0.0015,0.9995,0.0,0.061,0.0
0.07999999999992724,-0.0195,0.001,0.9971,0.1221,0.0,-0.061
0.08500000000003638,-0.0195,-0.0015,0.9961,0.061,0.0,-0.2441
0.09000000000014552,-0.0176,0.0,0.9951,0.0,0.0,0.0
0.09500000000002728,-0.0127,-0.001,1.0,0.0,-0.061,0.0
0.10000000000013642,-0.0161,0.0015,0.9985,0.061,0.0,0.0
0.10500000000001819,-0.0137,-0.0005,0.9971,0.0,0.061,-0.061
0.11000000000012733,-0.0161,-0.0015,0.9956,0.0,-0.061,-0.1221
0.1150000000000091,-0.0161,0.001,0.9976,0.0,0.0,0.0
0.12000000000011823,-0.0151,0.001,0.998,0.0,0.0,0.0
0.125,-0.0146,-0.0029,0.9956,0.0,0.1221,0.0
0.13000000000010914,-0.0166,0.0005,0.9951,0.0,0.0,0.0
0.1349999999999909,-0.0195,-0.001,0.998,0.0,0.0,0.0
0.14000000000010004,-0.0186,-0.001,0.9976,0.061,0.0,0.0
0.1449999999999818,-0.0171,-0.002,0.9971,-0.061,0.061,-0.061
0.15000000000009095,-0.0151,-0.001,0.9966,0.0,0.0,0.0
0.15499999999997272,-0.0156,-0.0015,0.9966,0.0,0.061,0.0
0.16000000000008185,-0.0156,-0.0015,0.998,0.0,0.0,0.0
0.16499999999996362,-0.0176,-0.0015,0.9956,0.061,0.0,0.0
0.17000000000007276,-0.0166,-0.0024,0.9961,0.0,0.0,0.0
0.17499999999995453,-0.0176,-0.002,0.9971,0.0,0.0,0.0
0.18000000000006366,-0.0171,0.0,0.998,0.1831,0.0,0.0
0.18499999999994543,-0.0171,0.0,0.9971,0.0,0.061,-0.2441
0.19000000000005457,-0.0171,-0.001,0.998,0.0,0.0,0.0
0.19499999999993634,-0.0156,0.0005,0.9966,0.0,0.1221,0.0
0.20000000000004547,-0.0142,0.0005,0.9971,0.0,0.0,-0.061
0.20499999999992724,-0.0151,-0.0005,0.9985,0.0,0.0,-0.061
0.21000000000003638,-0.0166,-0.0005,0.9956,0.061,0.0,-0.061
0.21500000000014552,-0.0161,0.001,0.9946,-0.061,-0.1221,0.0
0.22000000000002728,-0.0166,-0.0005,0.998,0.1221,0.0,0.0
0.22500000000013642,-0.0181,0.0005,1.0005,0.0,0.0,0.0
0.2300000000000182,-0.0181,0.0015,0.9971,0.0,0.0,0.0
0.23500000000012733,-0.0166,0.0005,0.9951,0.0,0.0,0.1221
0.2400000000000091,-0.0161,-0.0015,0.9976,0.0,0.0,0.0
0.24500000000011823,-0.0166,-0.0005,0.9990000000000001,0.0,-0.1221,0.0
0.25,-0.0181,-0.0015,0.9961,0.061,0.0,0.0
0.25500000000010914,-0.0161,-0.0015,0.9946,0.061,-0.1221,-0.061
0.2599999999999909,-0.0151,-0.002,0.9985,0.1221,0.1831,-0.1221
0.26500000000010004,-0.0156,0.0,0.9985,0.061,0.0,0.0
0.2699999999999818,-0.0186,0.001,0.9976,0.0,-0.061,0.0
0.27500000000009095,-0.0171,0.001,0.9966,0.0,-0.061,0.0
0.2799999999999727,-0.0171,0.0,0.998,0.061,0.0,0.0
0.28500000000008185,-0.0161,0.001,0.9971,0.0,0.0,0.0
0.2899999999999636,-0.0166,-0.0034,0.9966,0.1221,0.0,0.0
0.29500000000007276,-0.0166,-0.0029,0.9941,0.061,0.0,-0.061
0.2999999999999545,-0.0181,-0.002,1.0,0.061,0.0,0.0
0.30500000000006366,-0.0166,0.0,0.9985,0.0,0.061,0.0
0.30999999999994543,-0.0151,-0.0015,0.998,-0.061,0.0,0.061
0.31500000000005457,-0.0151,0.001,0.9966,0.061,0.0,0.061
0.31999999999993634,-0.0195,0.0015,0.9966,0.1221,0.0,0.0
0.3250000000000455,-0.0146,0.0005,0.9995,0.0,0.3662,0.0
0.32999999999992724,-0.02,0.002,1.001,0.0,0.1221,-0.1221
0.3350000000000364,-0.0112,-0.0015,0.9839,0.0,0.0,-0.061
0.3400000000001455,-0.0127,0.0,1.0029,0.0,0.0,0.0
0.3450000000000273,-0.0171,-0.0005,0.9941,0.0,0.1831,0.061
0.3500000000001364,-0.0146,-0.001,1.0034,0.061,-0.061,0.061
0.3550000000000182,-0.0137,0.0,0.9917,0.061,0.061,0.0
0.36000000000012733,-0.0176,0.0005,0.9971,0.0,0.061,0.0
0.3650000000000091,-0.0186,-0.0005,0.9961,0.0,0.0,-0.061
