time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s)
0.0,-0.0205,0.0,0.9990000000000001,0.1221,0.0,0.0
0.005000000000109139,-0.0176,0.0044,0.9995,0.061,0.0,0.0
0.009999999999763531,-0.019,0.0063,0.9976,0.061,0.0,0.0
0.01499999999987267,-0.021,0.0015,0.9971,0.0,0.061,0.1221
0.01999999999998181,-0.0205,0.0054,0.9995,-0.1221,-0.1221,-0.061
0.02500000000009095,-0.0205,0.0044,0.9966,0.0,0.061,0.0
0.03000000000020009,-0.0215,0.0039,0.9976,-0.1831,0.061,0.0
0.03499999999985448,-0.0215,0.0039,0.9941,0.1221,0.0,0.0
0.03999999999996362,-0.0205,0.0068,0.9976,0.0,-0.061,0.0
0.04500000000007276,-0.021,0.0044,1.0,0.0,0.061,0.061
0.0500000000001819,-0.0186,0.0063,0.9995,-0.061,0.1221,0.1831
0.05499999999983629,-0.0205,0.0054,0.9956,-0.061,0.0,0.0
0.05999999999994543,-0.0195,0.0049,0.9985,-0.1221,0.0,0.0
0.06500000000005457,-0.021,0.0054,0.9985,-0.061,0.061,0.0
0.07000000000016371,-0.0195,0.0049,0.9976,0.0,0.1221,0.0
0.0749999999998181,-0.02,0.0034,0.9951,0.061,0.0,0.061
0.07999999999992724,-0.0166,0.0049,0.9946,0.061,0.0,-0.061
0.08500000000003638,-0.0205,0.0044,0.9995,0.0,0.0,0.0
0.09000000000014552,-0.0195,0.0029,0.9971,-0.1831,0.1831,0.061
0.09499999999979991,-0.0205,0.0044,0.9976,-0.061,0.061,0.061
0.09999999999990905,-0.0205,0.0034,0.9990000000000001,0.0,-0.1221,0.0
0.10500000000001819,-0.0195,0.0054,0.9990000000000001,0.0,0.061,0.0
0.11000000000012733,-0.0205,0.002,1.0005,0.0,0.0,0.0
0.11499999999978172,-0.022000000000000002,0.0015,0.9971,0.0,0.0,0.061
0.11999999999989086,-0.0186,0.0049,0.9985,-0.061,-0.061,0.0
0.125,-0.0195,0.0063,1.0005,-0.1221,0.061,-0.061
0.13000000000010914,-0.02,0.0044,0.9956,-0.1221,0.061,0.0
0.13499999999976353,-0.02,0.0034,0.9971,-0.061,0.061,-0.061
0.13999999999987267,-0.0215,0.0029,0.9985,0.061,0.0,0.0
0.1449999999999818,-0.0195,0.0073,0.9966,0.061,0.061,0.0
0.15000000000009095,-0.0195,0.0049,0.9966,-0.1221,0.0,0.0
0.1550000000002001,-0.021,0.0059,0.9951,-0.061,0.061,0.0
0.15999999999985448,-0.0205,0.0034,0.9966,0.0,0.0,0.061
0.16499999999996362,-0.0195,0.0034,0.9985,0.1221,0.0,0.0
0.17000000000007276,-0.02,0.0044,0.9971,0.0,0.061,0.0
0.1750000000001819,-0.021,0.0029,0.9966,0.0,0.0,0.0
0.1799999999998363,-0.0205,0.0054,0.9976,0.0,0.0,0.0
0.18499999999994543,-0.019,0.0054,0.9976,0.0,0.061,0.0
0.19000000000005457,-0.02,0.0029,0.9985,-0.061,0.061,0.061
0.1950000000001637,-0.0205,0.0029,0.9966,0.0,0.0,0.061
0.1999999999998181,-0.0205,0.0068,0.9971,0.0,0.0,0.061
0.20499999999992724,-0.0176,0.0054,0.9976,0.0,0.0,0.0
0.21000000000003638,-0.0186,0.0024,1.0005,0.0,0.0,0.061
0.21500000000014552,-0.02,0.0059,0.9985,0.0,0.061,0.061
0.2199999999997999,-0.019,0.0063,0.9971,0.0,-0.1221,-0.061
0.22499999999990905,-0.021,0.0015,0.9966,-0.1221,0.0,0.061
0.2300000000000182,-0.0195,0.0054,1.0005,-0.061,-0.1221,0.0
0.23500000000012733,-0.0205,0.0034,0.9985,0.0,0.0,0.0
0.23999999999978172,-0.0205,0.002,0.9951,0.0,0.0,-0.061
0.24499999999989086,-0.02,0.0024,0.998,0.1221,-0.061,-0.061
0.25,-0.0215,0.0024,0.9976,0.0,0.0,-0.061
0.25500000000010914,-0.0186,0.0034,0.998,0.0,0.0,-0.061
0.25999999999976353,-0.019,0.001,0.9971,-0.061,-0.061,0.0
0.26499999999987267,-0.019,0.0044,0.9956,-0.1221,-0.1221,0.0
0.2699999999999818,-0.0215,0.0049,1.0,0.061,-0.061,-0.061
0.27500000000009095,-0.019,0.0034,0.9966,0.061,0.0,0.061
0.2800000000002001,-0.0181,0.0029,0.998,0.061,0.061,0.061
0.2849999999998545,-0.0205,0.0034,1.0,0.0,0.0,0.061
0.2899999999999636,-0.02,0.0063,0.998,0.1221,0.0,0.0
0.29500000000007276,-0.019,0.0044,0.9971,0.0,0.0,0.1221
