time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s)
0.0,-0.0181,0.0,0.9956,0.0,-0.061,-0.061
0.005000000000109139,-0.0156,0.0039,0.9946,0.0,0.0,0.0
0.009999999999990905,-0.0181,0.001,0.9985,-0.061,0.0,0.0
0.015000000000100044,-0.0156,0.0029,0.9971,0.0,0.0,0.0
0.020000000000209184,-0.0161,0.0015,0.9961,0.0,-0.1221,-0.1221
0.02500000000009095,-0.0171,0.0029,0.9932,0.0,0.0,0.0
0.03000000000020009,-0.0146,0.0034,0.9932,-0.061,-0.061,0.0
0.035000000000081855,-0.0142,0.0029,0.9990000000000001,0.0,0.0,0.0
0.040000000000190994,-0.0151,0.0015,0.9961,0.0,0.0,0.0
0.04500000000007276,-0.0171,-0.0005,0.9961,0.0,0.0,-0.061
0.0500000000001819,-0.0181,0.0015,0.9956,0.0,0.0,0.0
0.055000000000063665,-0.0186,0.0015,0.9976,0.061,0.0,0.0
0.060000000000172804,-0.0166,0.0029,0.9971,-0.1221,0.061,-0.1221
0.06500000000005457,-0.0166,0.0,0.9956,0.0,-0.061,0.061
0.07000000000016371,-0.0161,0.0005,0.9946,0.061,0.0,0.0
0.07500000000004547,-0.0181,0.0034,0.9966,0.1221,0.0,-0.061
0.08000000000015461,-0.0156,0.0015,0.998,0.061,0.061,0.0
0.08500000000003638,-0.0166,0.0024,0.9927,0.0,0.1221,0.0
0.09000000000014552,-0.02,0.0015,0.9937,0.0,0.061,-0.061
0.09500000000002728,-0.0181,0.0029,0.9971,0.061,-0.061,0.061
0.10000000000013642,-0.0166,0.001,0.9971,-0.061,0.1221,-0.061
0.10500000000001819,-0.0171,0.0034,0.9937,-0.061,0.0,-0.1221
0.11000000000012733,-0.0156,0.0,0.9941,0.0,0.0,-0.061
0.1150000000000091,-0.0151,0.001,0.9946,0.061,0.061,-0.061
0.12000000000011823,-0.0161,0.0,0.9990000000000001,-0.061,0.0,-0.061
0.125,-0.0176,0.0029,0.9937,0.0,0.0,-0.061
0.13000000000010914,-0.0146,0.0015,0.9941,0.0,-0.061,0.061
0.1349999999999909,-0.0161,0.0029,0.998,0.0,0.0,0.0
0.14000000000010004,-0.0146,0.0015,0.9990000000000001,0.0,-0.061,0.0
0.14500000000020918,-0.019,0.0005,0.9951,0.0,0.0,0.0
0.15000000000009095,-0.019,0.002,0.9951,-0.061,-0.061,0.061
